CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
P_F5_S12R_MV,"Portfolio investment, Equity and investment fund shares, Other financial corporations"
SC1,Sea transport
O_FL1_S1Z,"Other investment, Debt instruments, Other Sectors (BPM6)"
SC2,Air transport
D_F,"Direct investment, Total financial assets/liabilities"
D2_FL_D4Q,"Direct investment enterprises in direct investor, Debt instruments, Investment income on interest and income attributable to policy holders"
P_F51_FEF1,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing)"
TCAKA,Total current and capital account balances (credit less debit)
SC33,Other modes of transport; other than passenger and freight
D_F_FEF,"Direct investment, Total financial assets/liabilities, Total exceptional financing"
SD,Travel
O_F4_S1V_L_NV,"Other investment, Loans, Non financial corporations, households and NPISH, Long-term"
R_F5_D4S,"Reserve assets, Equity and investment fund shares, Investment income on investment income attributable to shareholders, including income on if, including rie"
SCC,All modes of transport; other than passenger and freight
O_D9AEF,"Other investment, Other investment grants (memo item: o/w exceptional financing)"
O_TLIMFOTR_S13_AFR,"Other investment, Credit and loans with the IMF: other than reserves, General government, Adjusted using IMF accounting records"
D61_S13,"Social contributions, General government"
R1_S1W,"Personal remittances (supplementary item), Financial corporations, nonfinancial corporations, households, and NPISHs"
EO_AFR,"Net errors and omissions, Adjusted using IMF accounting records"
D3,Subsidies
D_F5,"Direct investment, Equity and investment fund shares"
D99AEF,Debt forgiveness (memo item: o/w exceptional financing)
G22,Goods sold under merchanting
P_F52_S123_MV,"Portfolio investment, Investment fund shares/units, Money market funds"
O_F65,"Other investment, Entitlements to nonpension benefits"
O_FL1XEF,"Other investment, Debt instruments (excluding exceptional financing)"
SI1,Telecommunications services
D1_FL_D4Q,"Direct investor in direct invesment enterprises, Debt instruments, Investment income on interest and income attributable to policy holders"
D2,Taxes on production and imports
SD5Y,"Travel services, Both Business and Personal Travel, Other Services, of which education services"
P_F51_FEF1_S1V,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F51_FEF1_S1P,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F51_D42,"Portfolio investment, Equity, Investment income on dividends and withdrawals from income of quasi corporations (excluding rie and excluding IF)"
D_F52_D4S,"Direct investment, Investment fund shares/units, Investment income on investment income attributable to shareholders, including income on if, including rie"
O_F2_S1Z_S_NV,"Other investment, Currency and deposits, Other Sectors (BPM6), Short-term"
O_F2_S1Z_L_NV,"Other investment, Currency and deposits, Other Sectors (BPM6), Long-term"
P_F3_S1V_L_MV,"Portfolio investment, Debt securities, Non financial corporations, households and NPISH, Long-term"
SAZ,Goods for processing abroad
D3_FL_D4Q,"Direct investment between fellow enterprises, Debt instruments, Investment income on interest and income attributable to policy holders"
SF1,Direct insurance
P_F3_S1V_S_MV,"Portfolio investment, Debt securities, Non financial corporations, households and NPISH, Short-term"
D_F5_D4S,"Direct investment, Equity and investment fund shares, Investment income on investment income attributable to shareholders, including income on if, including rie"
SD1,Travel services; goods
TCAKAFA,"Total current, capital (credit less debit) and financial account balances (assets less liabilities)"
SDB3,Travel; personal; other
D_FL_D4Q,"Direct investment, Debt instruments, Investment income on interest and income attributable to policy holders"
G21,Goods acquired under merchanting
SC13,Sea transport; other than passenger and freight
SD5Z,"Travel services, Both Business and Personal Travel, Other Services, of which health services"
D3_FL,"Direct investment between fellow enterprises, Debt instruments"
D1_FL,"Direct investor in direct invesment enterprises, Debt instruments"
SC23,Air transport; other than passenger and freight
D_F5XEF,"Direct investment, Equity and investment fund shares/units: excluding exceptional financing"
P_F5_D4S,"Portfolio investment, Equity and investment fund shares, Investment income on investment income attributable to shareholders, including income on if, including rie"
SI3,Information services
SF2,Reinsurance
R_AFR,"Reserve assets, Adjusted using IMF accounting records"
SI2,Computer services
O_NILFR_S121_AFR,"Other investment, Net incurrence liabilities (adjusted using Fund records), Central bank, Adjusted using IMF accounting records"
P_F5_S1V_MV,"Portfolio investment, Equity and investment fund shares, Non financial corporations, households and NPISH"
O_NILFR_AFR,"Other investment, Net incurrence liabilities (adjusted using Fund records), Adjusted using IMF accounting records"
O_TLIMFOTR_S121_AFR,"Other investment, Credit and loans with the IMF: other than reserves, Central bank, Adjusted using IMF accounting records"
P_F5_S1Z_MV,"Portfolio investment, Equity and investment fund shares, Other Sectors (BPM6)"
D2_FL,"Direct investment enterprises in direct investor, Debt instruments"
_T_F,"All functional categories, Total financial assets/liabilities"
D751_S13,"Current transfers to NPISH, General government"
D_F52B,"Direct investment, Investment fund shares/units: reinvestment of earnings"
F12HFA_AFR,"SDRs holdings, Adjusted using IMF accounting records"
D5Z_S13,"Current taxes on income, wealth, etc. of which: payable by border, seasonal, and other short-term workers (current taxes on income, wealth, etc.), General government"
O_NILFR_S13_AFR,"Other investment, Net incurrence liabilities (adjusted using Fund records), General government, Adjusted using IMF accounting records"
D99R2_S1W,"Capital transfers to NPISH, Financial corporations, nonfinancial corporations, households, and NPISHs"
U1_FL,"Direct investment between fellow enterprises if ultimate controlling parent is resident, Debt instruments"
U2_FL,"Direct investment between fellow enterprises if ultimate controlling parent is nonresident, Debt instruments"
U3_FL,"Direct investment between fellow enterprises if ultimate controlling parent is unknown, Debt instruments"
P_F51_FEF1_S122,"Portfolio investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_F6_D44P,"Other investment, Insurance, pension and standardized guarantee schemes, Investment income on income attributable to policy holders (insurance, pension and standardized guarantee schemes)"
P_F3_S1Z_L_MV,"Portfolio investment, Debt securities, Other Sectors (BPM6), Long-term"
P_F3_S1Z_S_MV,"Portfolio investment, Debt securities, Other Sectors (BPM6), Short-term"
O_F6_S1Z,"Other investment, Insurance, pension and standardized guarantee schemes, Other Sectors (BPM6)"
O_F4_S1Z_L_NV,"Other investment, Loans, Other Sectors (BPM6), Long-term"
O_F4_S1Z_S_NV,"Other investment, Loans, Other Sectors (BPM6), Short-term"
O_F81_S1Z_S,"Other investment, Trade credits and advances, Other Sectors (BPM6), Short-term"
O_F81_S1Z_L,"Other investment, Trade credits and advances, Other Sectors (BPM6), Long-term"
U3_F5A,"Direct investment between fellow enterprises if ultimate controlling parent is unknown, Equity and investment fund shares/units: other than reinvestment of earnings"
U2_F5A,"Direct investment between fellow enterprises if ultimate controlling parent is nonresident, Equity and investment fund shares/units: other than reinvestment of earnings"
U1_F5A,"Direct investment between fellow enterprises if ultimate controlling parent is resident, Equity and investment fund shares/units: other than reinvestment of earnings"
D_F5_D42S,"Direct investment, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
D3_F5_D42S,"Direct investment between fellow enterprises, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
D1_F5_D42S,"Direct investor in direct invesment enterprises, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
U3_F5_D42S,"Direct investment between fellow enterprises if ultimate controlling parent is unknown, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
U1_F5_D42S,"Direct investment between fellow enterprises if ultimate controlling parent is resident, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
D2_F5_D42S,"Direct investment enterprises in direct investor, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
U2_F5_D42S,"Direct investment between fellow enterprises if ultimate controlling parent is nonresident, Equity and investment fund shares, Investment income on dividends and withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)"
O_FLAO_S122,"Other investment, Other debt instruments, Deposit taking corporations, except the Central Bank"
FR411NRF4,Loans: reserve-related liabilities (RRL) to nonresidents
FR411NRDEP,Deposits: reserve-related liabilities (RRL) to nonresidents
FR411NRF4REP,"Loans, Repo Loans (reserve-related liabilities (RRL) to nonresidents)"
FR411NRDS,Debt securities: reserve-related liabilities (RRL) to nonresidents
O_FL1_S1_Z,"Other investment, Debt instruments, Other sectors"
FR411NRF4O,"Loans, Other (reserve-related liabilities (RRL) to nonresidents)"
FR411NR,Reserve-related liabilities (RRL) to nonresidents
O_FLAO_S1_Z,"Other investment, Other debt instruments, Other sectors"
O_FLAO_S12R,"Other investment, Other debt instruments, Other financial corporations"
O_FLAO_S13_AFR,"Other investment, Other debt instruments, General government, Adjusted using IMF accounting records"
O_F12AFA_AFR,"Other investment, Special Drawing Rights (SDRs): allocations, Adjusted using IMF accounting records"
O_FLAO_S121_AFR,"Other investment, Other debt instruments, Central bank, Adjusted using IMF accounting records"
R_F12_AFR,"Reserve assets, Special Drawing Rights (SDRs), Adjusted using IMF accounting records"
D_F52_S123_MV,"Direct investment, Investment fund shares/units, Money market funds"
D,Direct investment
O_F4CF4_S121_AFR,"Other investment, Loans, credit, and loans with the IMF (other than reserves), Central bank, Adjusted using IMF accounting records"
D3_F5,"Direct investment between fellow enterprises, Equity and investment fund shares"
O,Other investment
FR411NRFC,Other short-term foreign currency liabilities to nonresidents: reserve-related liabilities (RRL) to nonresidents
P_MV,Portfolio investment
D1_F5,"Direct investor in direct invesment enterprises, Equity and investment fund shares"
RSDR,Reserve Assets included in SDR basket
D_F52_MV,"Direct investment, Investment fund shares/units"
D2_F5,"Direct investment enterprises in direct investor, Equity and investment fund shares"
O_FL1_AFR,"Other investment, Debt instruments, Adjusted using IMF accounting records"
O_F4CF4_S13_AFR,"Other investment, Loans, credit, and loans with the IMF (other than reserves), General government, Adjusted using IMF accounting records"
U3_F5,"Direct investment between fellow enterprises if ultimate controlling parent is unknown, Equity and investment fund shares"
U1_F5,"Direct investment between fellow enterprises if ultimate controlling parent is resident, Equity and investment fund shares"
U2_F5,"Direct investment between fellow enterprises if ultimate controlling parent is nonresident, Equity and investment fund shares"
FR411NRCLIMF,Credit and loans from the IMF: reserve-related liabilities (RRL) to nonresidents
O_FLAO_AFR,"Other investment, Other debt instruments, Adjusted using IMF accounting records"
O_S,"Other investment, Short-term"
O_L,"Other investment, Long-term"
NNAACQA,Acquisitions (net): nonproduced assets
D_IN1,"Direct investment, Primary income"
FAB,Financial account balance (assets less liabilities)
F7FCT_DIC,Foreign currency derivatives by sector notional value of contracts with nonresidents total
DCNRESICL_DIC,"Debt claims on nonresidents, inter-company lending"
F7FC_DIC_S122,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Deposit taking corporations, except the Central Bank"
DLNRESICL_DIC,Debt liabilities to nonresidents: inter-company lending
F7FC_DIC_S121,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Central bank"
DCNRESICL_DIC_S,"Debt claims on nonresidents, inter-company lending, Short-term"
DCNRES_DIC_S122,"Debt claims on nonresidents, Deposit taking corporations, except the Central Bank"
F7FC_DIC_S13,"Foreign currency derivatives by sector notional value of contracts with nonresidents, General government"
DLNRESICL_DIC_S,"Debt liabilities to nonresidents: inter-company lending, Short-term"
F7FC_DIC_S1ZOTH,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Other sectors: Other"
DLNRES_DIC_S122,"Debt liabilities to nonresidents, Deposit taking corporations, except the Central Bank"
F7FC_DIC_S12R,"Foreign currency derivatives by sector notional value of contracts with nonresidents, Other financial corporations"
